employee_id,timestamp,x,y,z
1,0,0.649017139,-0.161679639,0.624274842
1,1,0.654635435,-0.061520828,0.6007411
1,2,0.550970157,-0.18460607,0.601115563
1,3,0.52091038,-0.329592326,0.475196755
1,4,0.4404854,-0.239547413,0.679113271
1,5,0.405911745,-0.279494671,0.794253415
1,6,0.474136523,-0.131511481,0.505213719
1,7,0.442275881,-0.127172042,0.53258918
1,8,0.534283955,-0.19832817,0.618519163
1,9,0.436543492,0.046963517,0.646338816
1,10,0.39094306,-0.05600981,0.525604173
1,11,0.517600513,-0.334231314,0.514869933
1,12,0.516400277,-0.064417643,0.664825366
1,13,0.485149325,-0.168374671,0.499836339
1,14,0.424729732,-0.184328178,0.753400761
1,15,0.531075982,-0.314568317,0.680096935
1,16,0.458205925,-0.205956501,0.708856167
1,17,0.599814105,-0.045136289,0.563766786
1,18,0.465792915,-0.105137958,0.745243051
1,19,0.448796729,-0.156830199,0.537055041
1,20,0.377093491,-0.057011719,0.783312541
1,21,0.489513141,-0.037911011,0.683852141
1,22,0.432202178,-0.102124741,0.801492195
1,23,0.493131549,0.018200064,0.385714028
1,24,0.578904403,-0.129559594,0.617787803
1,25,0.505890231,-0.337021193,0.625721349
1,26,0.53242541,0.009525103,0.595861516
1,27,0.415864793,-0.188440006,0.73922875
1,28,0.529589264,-0.191240322,0.699015281
1,29,0.506421908,-0.041399802,0.577483229
1,30,0.463947938,-0.177475116,0.501337043
1,31,0.526326181,-0.112158774,0.648199884
1,32,0.47325544,-0.279801375,0.605624006
1,33,0.462442701,-0.218492028,0.631559967
1,34,0.537119239,0.050354289,0.665146319
1,35,0.522469192,-0.145708893,0.455811417
1,36,0.494062765,-0.13224128,0.894012749
1,37,0.477478057,-0.108109567,0.644217361
1,38,0.379846349,-0.02398202,0.722881841
1,39,0.575817348,-0.229203047,0.787967969
1,40,0.356529047,-0.079578592,0.866734101
1,41,0.39766052,-0.194894074,0.657653675
1,42,0.446366588,-0.293330644,0.654544836
1,43,0.390483782,-0.090905058,0.555746115
1,44,0.651707594,-0.21658963,0.615482386
1,45,0.578065875,-0.261350733,0.670434532
1,46,0.627428428,-0.299012625,0.666151924
1,47,0.522702432,-0.060082014,0.523993467
1,48,0.364668492,-0.086070145,0.677387005
1,49,0.521763438,-0.10361948,0.579686066
1,50,0.519939523,-0.108957054,0.576253396
1,51,0.683291604,-0.090881009,0.528558188
1,52,0.562369514,-0.235732468,0.726396998
1,53,0.612573711,-0.220332533,0.744026151
1,54,0.537992246,-0.056058285,0.837367836
1,55,0.472175341,-0.213637918,0.558737095
1,56,0.415133125,-0.145974472,0.681803736
1,57,0.524383233,-0.055545976,0.648988727
1,58,0.642067561,-0.164729984,0.919705455
1,59,0.559280888,-0.223980057,0.540599288
1,60,0.544961395,-0.16061058,0.719088588
1,61,0.544037915,-0.145547192,0.563009166
1,62,0.345229431,-0.182915796,0.733328418
1,63,0.518123527,-0.262838179,0.665006631
1,64,0.535245891,-0.226650045,0.663061049
1,65,0.502535025,-0.252561331,0.683467274
1,66,0.552792606,-0.029959177,0.753068743
1,67,0.358947216,-0.232046805,0.699192065
1,68,0.548092748,-0.086759533,1.032961687
1,69,0.553803204,-0.024707737,0.743088714
1,70,0.561853278,-0.169791226,0.72358546
1,71,0.419431632,-0.161946162,0.599152183
1,72,0.504901567,0.093201555,0.460962019
1,73,0.565340172,-0.299535888,0.600495352
1,74,0.605609213,-0.131836299,0.53991406
1,75,0.425183782,-0.070304526,0.574651875
1,76,0.518360012,-0.133707117,0.582528503
1,77,0.711108562,-0.074872399,0.445174279
1,78,0.515359584,-0.204442948,0.732931872
1,79,0.417462079,-0.149737945,0.698187266
1,80,0.583289672,-0.258293942,0.614238415
1,81,0.449219622,-0.203597224,0.824233962
1,82,0.537212324,-0.264352697,0.739474733
1,83,0.708929773,-0.035017775,0.495751542
1,84,0.448290746,-0.011573186,0.576921592
1,85,0.541096096,-0.060800896,0.554995491
1,86,0.490761617,-0.462391035,0.545249774
1,87,0.471457338,-0.263042619,0.810929668
1,88,0.353700015,-0.18226875,0.660762596
1,89,0.640841482,-0.281850516,0.764004913
1,90,0.497737459,-0.236415166,0.693898886
1,91,0.516620123,-0.198285989,0.654668747
1,92,0.458182793,-0.126912567,0.713901606
1,93,0.655315835,-0.262045851,0.860991876
1,94,0.301505373,-0.153442811,0.706520259
1,95,0.52481334,-0.200534253,0.626876313
1,96,0.44741406,-0.197200777,0.732648748
1,97,0.532415702,-0.207555261,0.737648526
1,98,0.527444105,-0.056978089,0.710651422
1,99,0.413814652,-0.194282405,0.722417899
1,100,0.55775118,-0.140354461,0.659421276
1,101,0.624480643,-0.19742144,0.702398276
1,102,0.476494888,-0.160032421,0.757566223
1,103,0.579255788,-0.056913338,0.778236419
1,104,0.498814537,-0.070069004,0.616661862
1,105,0.529130788,-0.151278607,0.657388135
1,106,0.556229856,-0.220086369,0.856927266
